user_id,behavioural_data,clicks
20,6,4
20,9,30
20,14,13
20,18,1
21,6,2
21,9,2
22,4,6
22,6,6
22,9,14
22,18,1
24,6,4
24,9,13
24,16,1
26,6,1
26,9,2
27,6,9
27,9,13
30,6,1
30,9,29
34,4,2
34,6,8
34,9,10
34,16,2
34,18,2
36,4,11
36,6,10
36,9,11
36,18,2
38,6,3
38,9,2
38,18,1
39,6,4
39,16,5
39,18,4
40,4,5
40,6,7
40,9,17
40,16,2
40,18,2
43,6,3
43,9,2
43,16,1
45,6,1
47,6,17
47,9,55
47,14,28
47,18,1
48,4,6
48,6,2
48,9,8
49,4,30
49,6,11
49,9,27
50,6,6
50,9,2
50,16,3
50,18,1
52,4,2
52,5,1
52,6,8
52,9,32
52,14,16
52,18,2
56,4,165
56,5,2
56,6,116
56,9,71
56,16,5
56,18,5
58,6,2
59,4,4
59,6,6
59,9,22
62,6,2
62,9,1
63,6,1
63,9,13
64,5,2
64,6,2
64,9,25
65,6,2
65,9,1
65,18,1
66,4,18
66,6,9
66,18,1
67,4,24
67,6,5
67,9,12
67,16,1
68,4,15
68,5,15
68,6,13
68,9,21
68,14,11
68,16,2
69,6,1
71,6,5
71,14,12
71,18,1
73,6,3
73,16,3
73,18,1
74,6,9
74,9,109
77,6,1
77,9,2
78,4,6
78,6,3
78,9,6
79,4,9
79,6,6
79,9,6
79,16,1
80,4,5
80,6,7
80,9,2
80,16,1
80,18,1
81,4,9
81,6,6
81,9,11
81,16,5
81,18,1
82,6,7
82,9,23
82,16,1
82,18,3
86,6,2
86,9,4
88,6,3
88,9,18
89,6,14
89,9,24
89,16,4
90,5,9
90,6,5
90,9,8
90,14,1
90,18,4
96,6,3
96,9,13
100,5,2
100,6,4
100,9,21
101,6,3
101,9,4
101,14,1
101,16,2
101,18,2
108,6,2
108,9,7
110,4,20
110,6,11
110,9,24
110,18,1
111,6,6
111,9,11
111,16,3
111,18,2
113,4,16
113,6,7
113,9,52
113,14,13
114,6,3
114,9,31
115,4,27
115,6,14
115,9,5
115,14,12
115,16,4
117,4,77
117,6,24
117,9,12
117,16,1
117,18,1
119,6,10
119,9,15
119,14,51
119,18,1
121,6,1
121,9,7
122,6,1
122,9,19
123,4,3
123,6,2
124,6,8
124,9,5
125,6,3
125,9,10
125,16,1
125,18,1
126,6,4
126,9,2
126,16,1
127,6,1
127,9,2
130,6,4
130,9,2
130,18,1
132,6,2
132,18,2
133,6,2
133,9,24
